CAS,Name(IUPAC),GC-O 묘사,functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description,Thershold (odor/ppb)
75-07-0,acetaldehyde  ,발효 알코올,Carbonyls - Aldehydes,ethereal,"aldehydic, ethereal, fresh, fruity, musty, pungent",pungent,"aldehydic, fresh, green, pungent",2003,"Floral, Green Apple",0.7
105-57-7,"1,1-diethoxyethane",배향,Acetals,ethereal,"earthy, ethereal, green, nutty, sweet, vegetable",nutty,"earthy, nutty, vegetable",2002,"Creamy, Fruit, Pleasant, Tropical Fruit",4.9
590-86-3,3-methylbutanal,꼬릿,Carbonyls - Aldehydes,aldehydic,"aldehydic, chocolate, ethereal, fatty, peach",fruity,"chocolate, cocoa, dry, fruity, green, leafy, nutty",2692,,0.15
64-17-5,ethanol,알코올,Alcohols,alcoholic,"alcoholic, ethereal, medicinal",,,2419,,3500
97-62-1,ethyl2-methylpropanoate,"단, 사탕수수, 유제품",Esters,fruity,"alcoholic, ethereal, fruity, fusel, pungent, rummy, sweet",ethereal,"egg nog, alliaceous, ethereal, fruity, pungent",2428,,0.0081
80-56-8,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",오렌지,"terpenes, terpenoids",herbal,"camphoreous, cooling, earthy, fresh, herbal, pine, sweet, terpenic, woody",woody,"camphoreous, herbal, pine, spicy, terpenic, tropical, woody",2902,"Cedarwood, Pine, Sharp",2.5
110-19-0,2-methylpropylacetate,"꽃, 과일, 체리",Esters,fruity,"apple, banana, ethereal, fruity, sweet, tropical",fruity,"tutti frutti, banana, fruity, sweet",2175,"Apple, Banana, Floral, Herb",25
105-54-4,ethylbutanoate,오렌지,Esters,fruity,"apple, cognac, fruity, pine, pineapple, sweet, juicy fruit, tutti frutti",fruity,"tutti frutti, apple, ethereal, fresh, fruity, sweet",2427,"Apple, Butter, Cheese, Pineapple, Strawberry",0.001
7452-79-1,ethyl2-methylbutanoate,오렌지,Esters,fruity,"apple, berry, estery, fresh, fruity, green, sharp, sweet, tropical",fruity,"apple, berry, cherry, fresh, fruity, grape, mango, pine, pineapple",2443,"Apple, Ester, Green Apple, Kiwi, Strawberry",0.006
108-64-5,ethyl3-methylbutanoate,"오렌지, 고량주",Esters,fruity,"apple, estery, fruity, green, orange, pine, pineapple, sharp, sweet, tutti frutti",fruity,"apple, fruity, green, metallic, pine, pineapple, spicy, sweet",2463,"Apple, Fruit, Pineapple, Sour",0.01
