Name(IUPAC),Common_name,Cas,functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description,Thershold (odor)
3-methylbutylhexanoate,isoamyl hexanoate,2198-61-0,Esters,fruity,"apple, banana, cheesy, fruity, green, pine, pineapple, pungent, sour, sweet",fruity,"apple, banana, fruity, green, pine, pineapple, rue, waxy",2075,"Anise, Fruit, Spice",0.32
butyl lactate,butyl lactate,138-22-7,Esters,green,"apple, cheesy, creamy, dairy, earthy, fruity, green, ketonic, kiwi, lactonic, milky, soapy, vanilla, waxy, winey, apple skin, melon rind",green,"apple skin, banana peel, melon rind, coconut, creamy, dairy, fruity, green, milky, nutty, soapy, tropical, waxy, winey",2205,Dairy,
furan-2-carbaldehyde,furfural,98-01-1,Furans,bready,"almond, baked, bready, brown, caramellic, phenolic, sweet, woody, bread baked",brown,"astringent, bready, brown, burnt, caramellic, nutty, stringent, sweet, woody",,,0.282
3-(prop-2-enyldisulfanyl)prop-1-ene,allyl disulfide,2179-57-9,Sulfur Compounds,alliaceous,"alliaceous, garlic, metallic, onion",alliaceous,"onion green onion, alliaceous, garlic, green, meaty, onion",2028,Garlic,0.03
"2,3,5,6-tetramethylpyrazine","2,3,5,6-tetramethyl pyrazine",1124-11-4,pyrazines,nutty,"brown, burnt, chocolate, cocoa, coffee, dry, lard, musty, nutty, vanilla",nutty,"asparagus, cocoa, coffee, dry, earthy, musty, nutty, peanut, raw, weedy",3237,"Cocoa, Coffee, Green, Mocha, Roast",1
2-(methylsulfanylmethyl)furan,furfuryl methyl sulfide,1438-91-1,Sulfur Compounds,alliaceous,"alliaceous, garlic, horseradish, onion, pungent, radish, sulfurous, vegetable",sulfurous,"eggy, garlic, horseradish, mustard, radish, sulfurous",3160,Savory,
3-cyclohexene-1-methanol,3-cyclohexene-1-methanol,1679-51-2,Alcohols,,,,,,,
1-(furan-2-yl)ethanone,2-acetyl furan,1192-62-7,Furans,balsamic,"almond, balsamic, brown, caramellic, cocoa, coffee, lactonic, milky, nutty, sweet, toasted",nutty,"baked, nutty, roasted, sweet",3163,"Balsamic, Cocoa, Coffee",10
1-benzofuran,1-benzofuran,271-89-6,Furans,,,styrene,"aromatic, styrene",,,
propyloctanoate,propyl octanoate,624-13-5,Esters,coconut,"cocoa, coconut, cognac, fatty, winey",,,,,
benzaldehyde,benzaldehyde,100-52-7,Carbonyls - Aldehydes,fruity,"almond, bitter, cherry, fruity, nutty, powdery, sharp, sweet, cherry maraschino cherry",fruity,"cherry maraschino cherry, fruit tropical fruit, almond, cherry, fruity, nutty, oily, sweet, tropical, woody",2127,"Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper",0.024
ethylnonanoate,ethyl nonanoate,123-29-5,Esters,waxy,"apple, banana, cognac, estery, fruity, natural, rose, rummy, tropical, waxy, winey",waxy,"cognac, estery, fruity, grape, soapy, tropical, waxy",2447,Floral,0.377
(E)-non-2-enal,(E)-2-nonenal,18829-56-6,Carbonyls - Aldehydes,fatty,"aldehydic, citrus, cucumber, fatty, green",green,"aldehydic, cucumber, fatty, green, melon, soapy",3213,Paper,0.00008
ethyl2-hydroxy-4-methylpentanoate,ethyl 2-hydroxy-4-methyl valerate,10348-47-7,Esters,fruity,"berry, blackberry, fresh, fruity",,,,,
butyl octanoate,butyl octanoate,589-75-3,Esters,buttery,"buttery, ethereal, herbal",,,,,
2-methylpropanoicacid,isobutyric acid,79-31-2,Acids,acidic,"acidic, buttery, cheesy, dairy, rancid, sour",acidic,"cheesy limburger cheese, acidic, cheesy, creamy, dairy, sour",2222,"Burnt, Butter, Cheese, Sweat",0.01
ethyl3-methylsulfanylpropanoate,ethyl methyl mercaptopropionate,13327-56-5,Sulfur Compounds,sulfurous,"apple, fruity, metallic, pine, pineapple, pulpy, ripe, sulfurous, tomato",sulfurous,"apple, garlic, onion, pine, pineapple, rummy, sulfurous, vegetable",3343,"Cabbage, Caramel, Grass, Menthol",0.007
isoamyl lactate,isoamyl lactate,19329-89-6,Esters,fruity,"creamy, fruity, nutty",,,,,
5-methylfuran-2-carbaldehyde,5-methyl furfural,620-02-0,Furans,caramellic,"bready, brown, caramellic, coffee, maple, spicy, sweet",brown,"brown, caramellic, grain, maple, rain, sweet",2702,,0.5
methylfuran-2-carboxylate,methyl 2-furoate,611-13-2,Furans,fungal,"fruity, fungal, mushroom, sweet, tobacco",caramellic,"sugar brown sugar, brown, caramellic, musty, sugar, sweet",2703,Fruit,
undecan-2-one,2-undecanone,112-12-9,Carbonyls - Ketones,fruity,"apple, creamy, fatty, floral, fruity, ketonic, orris, pine, pineapple, waxy",waxy,"cheesy, creamy, fatty, fruity, waxy",3093,"Fresh, Green, Orange, Rose",0.0055
2-methyl-1-benzofuran,2-methyl benzofuran,4265-25-2,Furans,,"burnt, phenolic",phenolic,"burnt, phenolic",4543,Savory,
"2,3-dihydro-1-benzofuran",coumaran,496-16-2,Furans,,,,,,,
butanoicacid,butyric acid,107-92-6,Acids,cheesy,"acetic, buttery, cheesy, dairy, fruity, sharp",sour,"acidic, cheesy, creamy, dairy, fruity, sour",2221,"Butter, Cheese, Sour",0.05
1-methylpyrrole-2-carbaldehyde,1-methyl-2-pyrrole carboxaldehyde,1192-58-1,Bases,,,,,4332,Nuts,0.037
ethyldecanoate,ethyl decanoate,110-38-3,Esters,waxy,"apple, brandy, fruity, grape, oily, sweet, waxy",waxy,"apple, fruity, sweet, waxy",2432,"Brandy, Grape, Pear",0.005
2-phenylacetaldehyde,phenyl acetaldehyde,122-78-1,Carbonyls - Aldehydes,green,"chocolate, clove, clover, cocoa, earthy, fermented, floral, green, honey, hyacinth, powdery, rose, sweet",honey,"chocolate, cocoa, floral, honey, spicy, sweet",2874,"Berry, Geranium, Honey, Nut, Pungent",0.0003
3-methylbutyloctanoate,isoamyl octanoate,2035-99-6,Esters,fruity,"apple, coconut, fatty, fruity, green, oily, pine, pineapple, soapy, sweet, waxy",fruity,"apple, coconut, cognac, fruity, green, pine, pineapple, sweet, waxy",2080,Fruit,0.07
furan-2-ylmethanol,furfuryl alcohol,98-00-0,Furans,bready,"alcoholic, bready, brown, caramellic, chemical, coffee, estery, musty, sulfurous, sweet",burnt,"brown, burnt, caramellic, sweet",2491,"Burnt, Caramel, Cooked",1.9
3-methylbutanoicacid,isovaleric acid,503-74-2,Acids,cheesy,"acidic, cheesy, dairy, fatty, fruity, pungent, ripe, sour, sweaty, tropical",cheesy,"berry, cheesy, creamy, dairy, fermented, sweet, waxy",3102,"Cheese, Pungent",0.012
diethylbutanedioate,diethyl succinate,123-25-1,Esters,fruity,"apple, cooked, fruity, ylang, apple cooked apple",fruity,"passion fruit, floral, fruity, tart, tropical",2377,"Cotton, Fabric, Floral, Fruit, Wine",
ethylbenzoate,ethyl benzoate,93-89-0,Esters,minty,"cherry, dry, fruity, grape, green, medicinal, minty, musty, sweet, wintergreen",medicinal,"beer, fruity, green, medicinal, minty, sweet, wintergreen",2422,"Camomile, Celery, Fat, Flower, Fruit",0.053
2-ethyl benzofuran,2-ethyl benzofuran,3131-63-3,Furans,,,,,,,
thiophene-2-carbaldehyde,thenaldehyde,98-03-3,Sulfur Compounds,sulfurous,sulfurous,cherry,"almond bitter almond, almond, bitter, cherry",,,5
2-methylpropyldecanoate,isobutyl decanoate,30673-38-2,Esters,fermented,"apricot, brandy, cognac, fermented, oily, sweet",,,,,
