CAS,Name(IUPAC),GC-O 묘사,Thershold (odor/ ppm),functional group,Odor Type,Odor description (Goodscents),Flavor Type,Flavor description (Goodscents),FEMA #,FEMA description
75-07-0,acetaldehyde  ,발효 알코올,0.7,Carbonyls - Aldehydes,ethereal,"aldehydic, ethereal, fresh, fruity, musty, pungent",pungent,"aldehydic, fresh, green, pungent",2003,"Floral, Green Apple"
105-57-7,"1,1-diethoxyethane",배향,4.9,Acetals,ethereal,"earthy, ethereal, green, nutty, sweet, vegetable",nutty,"earthy, nutty, vegetable",2002,"Creamy, Fruit, Pleasant, Tropical Fruit"
590-86-3,3-methylbutanal,꼬릿,0.15,Carbonyls - Aldehydes,aldehydic,"aldehydic, chocolate, ethereal, fatty, peach",fruity,"chocolate, cocoa, dry, fruity, green, leafy, nutty",2692,
64-17-5,ethanol,알코올,3500,Alcohols,alcoholic,"alcoholic, ethereal, medicinal",,,2419,
97-62-1,ethyl2-methylpropanoate,"단, 사탕수수, 유제품",0.0081,Esters,fruity,"alcoholic, ethereal, fruity, fusel, pungent, rummy, sweet",ethereal,"egg nog, alliaceous, ethereal, fruity, pungent",2428,
80-56-8,"2,6,6-trimethylbicyclo[3.1.1]hept-2-ene",오렌지,2.5,"terpenes, terpenoids",herbal,"camphoreous, cooling, earthy, fresh, herbal, pine, sweet, terpenic, woody",woody,"camphoreous, herbal, pine, spicy, terpenic, tropical, woody",2902,"Cedarwood, Pine, Sharp"
110-19-0,2-methylpropylacetate,"꽃, 과일, 체리",25,Esters,fruity,"apple, banana, ethereal, fruity, sweet, tropical",fruity,"tutti frutti, banana, fruity, sweet",2175,"Apple, Banana, Floral, Herb"
105-54-4,ethylbutanoate,오렌지,0.001,Esters,fruity,"apple, cognac, fruity, pine, pineapple, sweet, juicy fruit, tutti frutti",fruity,"tutti frutti, apple, ethereal, fresh, fruity, sweet",2427,"Apple, Butter, Cheese, Pineapple, Strawberry"
7452-79-1,ethyl2-methylbutanoate,오렌지,0.006,Esters,fruity,"apple, berry, estery, fresh, fruity, green, sharp, sweet, tropical",fruity,"apple, berry, cherry, fresh, fruity, grape, mango, pine, pineapple",2443,"Apple, Ester, Green Apple, Kiwi, Strawberry"
108-64-5,ethyl3-methylbutanoate,"오렌지, 고량주",0.01,Esters,fruity,"apple, estery, fruity, green, orange, pine, pineapple, sharp, sweet, tutti frutti",fruity,"apple, fruity, green, metallic, pine, pineapple, spicy, sweet",2463,"Apple, Fruit, Pineapple, Sour"
78-83-1,2-methylpropan-1-ol,"알코올, 단, 바나나",360,Alcohols,ethereal,"cortex, ethereal, winey",ethereal,"ethereal, fusel, whiskey",2179,"Apple, Bitter, Cocoa, Wine"
123-92-2,3-methylbutylacetate,바나나,0.15,Esters,fruity,"banana, estery, ethereal, fruity, ripe, solvent, sweet",fruity,"banana, fruity, green, ripe, sweet",2055,"Apple, Banana, Glue, Pear"
105-68-0,3-methylbutylpropanoate,딸기향,8.6,Esters,fruity,"apple, banana, estery, fresh, fruity, green, pine, pineapple, ripe, sweet, tropical, fruit tropical fruit",fruity,"tutti frutti, apple, banana, fruity, melon, pine, pineapple, sweet, tropical",2082,"Apple, Apricot, Pineapple"
5989-27-5,(4R)-1-methyl-4-prop-1-en-2-ylcyclohexene,오렌지 껍질,4,"terpenes, terpenoids",citrus,"camphoreous, citrus, herbal, terpenic",herbal,"aromatic, citrus, herbal, minty, pine, terpenic, tropical, woody",,
123-51-3,3-methylbutan-1-ol,꼬릿 발효,4,Alcohols,fermented,"alcoholic, banana, cognac, ethereal, fermented, fruity, fusel, molasses, pungent, whiskey",fusel,"banana, cognac, ethereal, fermented, fruity, fusel",2057,"Burnt, Cocoa, Floral, Malt"
3777-69-3,2-pentylfuran,풀취,5.8,Furans,fruity,"beany, earthy, fruity, green, metallic, vegetable",green,"caramellic, cooked, green, musty, waxy",3317,"Butter, Floral, Fruit, Green Bean"
123-66-0,ethylhexanoate,고량주,0.01,Esters,fruity,"apple, banana, estery, fatty, fruity, green, pine, pineapple, sweet, waxy",fruity,"apple, banana, estery, fruity, green, pine, pineapple, sweet, waxy",2439,"Apple Peel, Brandy, Fruit Gum, Overripe Fruit, Pineapple"
99-87-6,1-methyl-4-propan-2-ylbenzene,시트러스,5.01,"terpenes, terpenoids",terpenic,"chemical, cilantro, citrus, cumin, fresh, lemon, origanum, spicy, terpenic, woody",terpenic,"pepper bell pepper, citrus, green, origanum, rancid, spicy, terpenic, woody",2356,"Citrus, Fresh, Solvent"
3658-80-8,(methyltrisulfanyl)methane,황취,9.9,Sulfur Compounds,alliaceous,"alliaceous, cooked, eggy, fresh, green, meaty, onion, savory, sulfurous, vegetable, onion cooked onion, onion green onion",alliaceous,"alliaceous, fresh, gassy, meaty, savory, sulfurous, vegetable",3275,"Cabbage, Fish, Onion, Sulfur"
106-32-1,ethyloctanoate,"풀, 단, 왁스",5,Esters,waxy,"apple, apricot, banana, brandy, creamy, dairy, fruity, musty, pear, pine, pineapple, sweet, waxy, winey",waxy,"apple, cognac, creamy, fatty, fruity, mushroom, pine, pineapple, soapy, sweet, waxy, winey",2449,"Apricot, Brandy, Fat, Floral, Pineapple"
64-19-7,aceticacid,"식초, 시큼",10000,Acids,acidic,"acidic, pungent, sharp, sour, vinegar",sour,"fruit overripe fruit, acetic, pungent, ripe, sour",2006,"Acid, Fruit, Pungent, Sour, Vinegar"
98-01-1,furan-2-carbaldehyde,견과,282,Furans,bready,"almond, baked, bready, brown, caramellic, phenolic, sweet, woody, bread baked",brown,"astringent, bready, brown, burnt, caramellic, nutty, stringent, sweet, woody",,
1192-62-7,1-(furan-2-yl)ethanone,견과,10000,Furans,balsamic,"almond, balsamic, brown, caramellic, cocoa, coffee, lactonic, milky, nutty, sweet, toasted",nutty,"baked, nutty, roasted, sweet",3163,"Balsamic, Cocoa, Coffee"
78-70-6,"3,7-dimethylocta-1,6-dien-3-ol",시트러스,0.01,"terpenes, terpenoids",floral,"berry, blueberry, citrus, floral, green, orange, rose, sweet, terpenic, waxy, woody, bois de rose",citrus,"aldehydic, citrus, floral, lemon, orange, waxy, woody",2635,"Coriander, Floral, Lavender, Lemon, Rose"
100-52-7,benzaldehyde,곡물,24,Carbonyls - Aldehydes,fruity,"almond, bitter, cherry, fruity, nutty, powdery, sharp, sweet, cherry maraschino cherry",fruity,"cherry maraschino cherry, fruit tropical fruit, almond, cherry, fruity, nutty, oily, sweet, tropical, woody",2127,"Bitter Almond, Burnt Sugar, Cherry, Malt, Roasted Pepper"
13327-56-5,ethyl3-methylsulfanylpropanoate,"건조된 풀, 쌀?",7,Sulfur Compounds,sulfurous,"apple, fruity, metallic, pine, pineapple, pulpy, ripe, sulfurous, tomato",sulfurous,"apple, garlic, onion, pine, pineapple, rummy, sulfurous, vegetable",3343,"Cabbage, Caramel, Grass, Menthol"
611-13-2,methylfuran-2-carboxylate,케미컬,1000,Furans,fungal,"fruity, fungal, mushroom, sweet, tobacco",caramellic,"sugar brown sugar, brown, caramellic, musty, sugar, sweet",2703,Fruit
112-12-9,undecan-2-one,"왁스, 케미컬",5.5,Carbonyls - Ketones,fruity,"apple, creamy, fatty, floral, fruity, ketonic, orris, pine, pineapple, waxy",waxy,"cheesy, creamy, fatty, fruity, waxy",3093,"Fresh, Green, Orange, Rose"
110-38-3,ethyldecanoate,"왁스, 꼬릿, earthy, 곡물",5,Esters,waxy,"apple, brandy, fruity, grape, oily, sweet, waxy",waxy,"apple, fruity, sweet, waxy",2432,"Brandy, Grape, Pear"
